,trade_id,address,chain,symbol,target_position_value,entry_date_time,next_market_open,market_entry_date_time,market_entry_date,vwap,post_cumulative_share_count,realized_profit,prior_portfolio_value,current_position,prior_position_value,cash_used,share_count,prior_cumulative_share_count,adjusted_entry
1953,272,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,QQQ,-5093.735262678316,2022-03-09 18:06:22,2022-03-09 14:30:00,2022-03-09 19:00:00,2022-03-09,334.553403,-15.225477358777054,-411.4088874261352,10187.470525356632,-5093.735262678316,-4563.669065372486,530.0661973058295,-1.58439935912363,-13.641077999653424,0.0
1960,273,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,GOOG,492.9301850384369,2022-03-16 16:33:45,2022-03-16 13:30:00,2022-03-16 17:00:00,2022-03-16,2632.457503,0.18725095636935601,36.00521927304174,9858.603700768737,492.9301850384369,514.5747834496368,21.644598411199922,-0.00822220240460988,0.1954731587739659,0.0
1967,274,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,AMZN,492.9301850384369,2022-03-16 16:33:45,2022-03-16 13:30:00,2022-03-16 17:00:00,2022-03-16,2997.863599,0.1644271557928333,55.65595071361629,9858.603700768737,492.9301850384369,519.3991311624457,26.468946124008767,-0.008829269661514299,0.17325642545434758,0.0
1974,275,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,MSFT,492.9301850384369,2022-03-16 16:33:45,2022-03-16 13:30:00,2022-03-16 17:00:00,2022-03-16,288.587114,1.7080810650417222,34.29701063837395,9858.603700768737,492.9301850384369,507.1011062713753,14.170921232938383,-0.04910448369132096,1.7571855487330432,0.0
1981,276,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,BILL,492.9301850384369,2022-03-16 16:33:45,2022-03-16 13:30:00,2022-03-16 17:00:00,2022-03-16,186.300722,2.6458844589901096,64.59518646652329,9858.603700768737,492.9301850384369,443.5552599555336,-49.3749250829033,0.26502809303607155,2.3808563659540383,0.0
1989,277,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,KWEB,591.5162220461242,2022-03-16 16:33:45,2022-03-16 13:30:00,2022-03-16 17:00:00,2022-03-16,28.881233,20.480989230831113,-6.551131139330616,9858.603700768737,591.5162220461242,415.2548520731806,-176.2613699729436,6.102972472572192,14.378016758258921,0.0
1997,278,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,BABA,591.5162220461242,2022-03-16 16:33:45,2022-03-16 13:30:00,2022-03-16 17:00:00,2022-03-16,97.964614,6.038060049377872,18.01011418318259,9858.603700768737,591.5162220461242,450.2400489824822,-141.27617306364198,1.4421143236846927,4.59594572569318,0.0
2005,279,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,BIDU,492.9301850384369,2022-03-16 16:33:45,2022-03-16 13:30:00,2022-03-16 17:00:00,2022-03-16,137.72438,3.579106219526542,-12.998444066509032,9858.603700768737,492.9301850384369,326.84801869319443,-166.08216634524246,1.2059024433091836,2.3732037762173586,0.0
2013,280,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,PLTR,0.0,2022-03-16 16:33:45,2022-03-16 13:30:00,2022-03-16 17:00:00,2022-03-16,11.502404,0.0,-0.0,9858.603700768737,0.0,112.01380041455604,112.01380041455604,-9.738294743825382,9.738294743825382,0.0
2020,281,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,BRBR,0.0,2022-03-16 16:33:45,2022-03-16 13:30:00,2022-03-16 17:00:00,2022-03-16,25.253241,0.0,0.0,9858.603700768737,0.0,-156.20308480906803,-156.20308480906803,6.185466840041167,-6.185466840041167,0.0
